year,month,day,rainfall_all,avgtemp_all,humidity_all,GDP,mintemp_all,maxtemp_all,heat_all,sensible_all,max_power
2014,6,23,12.58495696,21.47255672,85.40790266,4434.98,19.19737598,25.21801614,21.42030801,21.41662854,65547
2014,6,24,0.698276104,22.71143812,76.9594206,4434.98,19.12330515,27.52449322,22.66446622,22.66653777,66595
2014,6,25,0.064290582,23.6842864,74.61982184,4434.98,19.7254688,28.68355598,23.57494949,23.56252702,67542
2014,6,26,0,24.47105616,69.3902892,4434.98,20.35025328,29.84561716,24.43259497,24.42918533,68774
2014,6,27,0,24.68093173,68.7545445,4434.98,20.58849973,30.10622514,24.75196787,24.71627139,68262
2014,6,28,0.270932504,24.76179285,67.32733851,4434.98,21.38911285,29.71855591,24.74085345,24.66963823,61010
2014,6,29,0,24.36787954,65.97498082,4434.98,20.81171698,29.38079694,24.46575013,24.4481038,55503
2014,6,30,0.49024489,24.85813287,70.68090611,4434.98,20.82814213,30.14763458,24.83398794,24.84842042,69801
2014,7,1,2.824559717,25.75567367,71.29179187,4369.33,21.11176585,31.46057932,25.78699726,25.65824999,71029
2014,7,2,12.90965059,24.61266983,77.07701243,4369.33,21.46170613,29.41338189,24.77351743,24.77204254,70518
2014,7,3,21.03733525,22.18393417,89.4932686,4369.33,20.54073824,24.65426532,22.1282303,22.10193938,66535
2014,7,4,0.280081257,25.2781232,72.00296009,4369.33,21.28879038,30.16580032,25.15418552,25.14710594,68944
2014,7,5,1.061612522,24.81432202,73.32698925,4369.33,21.56765181,28.61385103,24.86072767,24.87826905,61356
2014,7,6,3.505536662,23.25688014,77.97347422,4369.33,21.27934845,26.20097313,23.33176726,23.32989861,54855
2014,7,7,0.689421363,25.04130536,74.16359242,4369.33,20.25197046,30.00434078,25.37346213,24.92627258,69831
2014,7,8,2.749327178,25.69338645,79.59661412,4369.33,22.91401612,29.76092821,26.03536078,25.56578396,70523
2014,7,9,1.772637916,27.02656441,82.1061281,4369.33,24.66799609,31.35896486,29.5249417,27.03577254,72676
2014,7,10,0,28.19318862,67.84987855,4369.33,24.54919526,33.23147787,30.02506266,28.13986427,73566
2014,7,11,0,27.54797319,59.37155792,4369.33,23.46870395,33.06432312,28.52569987,27.54545251,72310
2014,7,12,0.34005638,25.47026355,69.42304912,4369.33,22.65621213,29.35167633,25.64299705,25.62621058,63830
2014,7,13,10.04755955,24.59777177,77.84790107,4369.33,21.77084041,28.65650863,24.58162891,24.54946823,57026
2014,7,14,0,26.38508727,70.45855359,4369.33,22.61074499,31.08966403,26.40085192,26.26644743,72580
2014,7,15,1.475132342,25.69269854,75.70263807,4369.33,23.21619105,29.96275164,26.46318146,25.7578696,72611
2014,7,16,2.204046883,26.0623689,72.73003309,4369.33,22.80631097,31.07822601,26.4159656,26.0653753,72607
2014,7,17,8.542788862,24.85858005,82.4276876,4369.33,22.72001437,27.90995465,24.88358215,24.87480722,71498
2014,7,18,19.02993783,25.02139251,84.93167431,4369.33,22.00545631,29.27073783,25.0989912,25.07626553,71605
2014,7,19,5.031030038,26.73486786,80.17510681,4369.33,23.82970172,31.13495791,28.81286364,26.71859192,65090
2014,7,20,0,27.6465719,76.10658501,4369.33,24.15539172,32.67468162,30.23232923,27.58446683,60592
2014,7,21,0,27.37017786,74.76820638,4369.33,24.08367788,31.83597794,29.66250952,27.38578063,74839
2014,7,22,6.879036265,26.61857953,78.11835915,4369.33,24.25738438,29.66124181,27.40265029,26.57008767,73590
2014,7,23,24.30884057,25.81949683,82.89979127,4369.33,23.49603202,28.55443134,27.13054623,25.96111725,71830
2014,7,24,22.98481531,25.55079286,85.16454679,4369.33,22.46629046,29.27269839,27.7301797,25.4556536,71947
2014,7,25,25.13968549,28.38443027,79.48554553,4369.33,24.20455403,33.41358645,32.3575128,28.22654699,76054
2014,7,26,1.708560812,25.02747472,76.896118,4369.33,22.1967419,29.02669252,26.1139916,25.45580321,63452
2014,7,27,0.011251171,24.95271107,69.93798636,4369.33,20.98199027,30.60040991,24.93827248,24.92210444,57555
2014,7,28,1.957808991,25.45298228,70.99578724,4369.33,20.91890435,30.19750601,25.34123508,25.33196501,70263
2014,7,29,2.100356295,26.00740342,73.65344568,4369.33,22.16574586,30.18077145,26.1123076,25.94435115,70243
2014,7,30,0.001478002,28.78150207,71.26370991,4369.33,24.3099789,33.91168089,32.03511713,28.58728233,72841
2014,7,31,4.980149007,28.66354954,73.96076279,4369.33,25.26157832,34.8271077,33.09499249,28.84138498,72870
2014,8,1,0.356552405,29.05601966,70.29249851,4369.33,24.68280005,33.6211525,32.40048359,28.87393644,68690
2014,8,2,15.30249972,28.91490435,67.23605566,4369.33,25.99804068,32.64855099,31.14751178,29.01934034,60964
2014,8,3,23.30256841,26.1320424,87.29308372,4369.33,24.16795819,28.73522511,26.47988977,26.17058716,57167
2014,8,4,12.691025,25.57864425,94.14686109,4369.33,24.29751302,27.67135642,25.60354336,25.6199136,62294
2014,8,5,0.683717686,26.89385278,85.20422412,4369.33,24.50775636,30.58340292,29.73379364,26.87883291,65788
2014,8,6,4.861741652,25.7621255,87.28870857,4369.33,23.46607417,28.52107949,26.7299197,25.89241427,66074
2014,8,7,12.35747741,23.97849852,91.33209974,4369.33,22.22988017,26.49799165,24.0701156,24.05707123,64831
2014,8,8,1.908851021,24.78015227,74.42196248,4369.33,21.35362699,28.52936956,24.76144724,24.76601207,64948
2014,8,9,0.651684734,25.77373198,61.82429723,4369.33,22.16853969,30.19625776,25.71241646,25.68904342,59207
2014,8,10,29.26869104,23.62520674,78.61001315,4369.33,20.46172057,27.98320563,23.95542654,23.98241259,54596
2014,8,11,0.191068054,23.92574768,77.99802976,4369.33,19.42686454,28.93321727,23.69874769,23.6855764,67540
2014,8,12,0,25.73832809,72.17562225,4369.33,21.4948707,30.90465809,25.67184734,25.67030022,69977
2014,8,13,2.146346066,24.26268291,78.7797226,4369.33,22.25443325,27.02109049,24.38869562,24.36891734,68662
2014,8,14,17.66823726,21.72156969,87.04054149,4369.33,20.50985852,23.63884578,21.79532682,21.76678735,65015
2014,8,15,5.344345661,24.19117115,81.5905869,4369.33,20.99601554,28.51920184,24.06687114,24.08169848,61600
2014,8,16,0.005037402,25.60588083,75.37587773,4369.33,21.95000013,30.70692655,25.54508136,25.56534713,59837
2014,8,17,18.35823846,23.66288426,82.43646373,4369.33,21.79705014,26.28311199,23.82751515,23.82449057,55046
2014,8,18,52.59936499,22.2639184,92.69957363,4369.33,20.51760727,24.41234397,22.22830797,22.22983407,66232
2014,8,19,8.745066834,23.26334709,94.28292288,4369.33,21.42072431,26.53933087,23.20352254,23.22934308,67191
2014,8,20,13.8050611,24.31952844,90.90259988,4369.33,22.48486222,26.89979177,24.25884605,24.23799142,68596
2014,8,21,35.95940412,23.90034082,91.79661822,4369.33,22.14821994,26.83618652,23.99359999,23.99457095,68283
2014,8,22,6.18878616,25.00248155,78.89338261,4369.33,21.57197963,29.19383489,24.9299978,24.94102172,68320
2014,8,23,0.206292872,25.45521406,76.40434631,4369.33,22.30210622,30.11645165,25.43091225,25.44794821,62159
2014,8,24,1.511183913,25.27768148,79.91607926,4369.33,21.85257851,29.48137063,25.19583551,25.20843106,57285
2014,8,25,34.49773882,24.5833462,86.37687695,4369.33,23.0523383,26.84724409,24.63600573,24.61484159,69048
2014,8,26,6.330510963,25.09407145,79.03092982,4369.33,21.98184422,29.38971767,25.21280195,25.21340721,70689
2014,8,27,1.863262505,23.75369875,74.21275904,4369.33,20.88743074,27.26328983,23.76132644,23.75436526,68670
2014,8,28,0.085255467,23.81826519,71.0747573,4369.33,20.10099017,28.36080133,23.8359261,23.83459536,68404
2014,8,29,3.356263556,23.87104896,73.30371088,4369.33,20.17462684,28.77444094,23.80563521,23.80409467,68468
